Promote v2 -> legacy started 2026-06-07 15:29:28.451031
v2 source: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice\v2\eve-donovan-2026-06-04
legacy: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice
PROMOTED kaoru_488
PROMOTED kaoru_489
PROMOTED kaoru_490
PROMOTED kaoru_493
PROMOTED kaoru_496
PROMOTED kaoru_497
PROMOTED kaoru_498
PROMOTED kaoru_499
PROMOTED kaoru_511
PROMOTED kaoru_514
PROMOTED kaoru_517
PROMOTED kaoru_522
PROMOTED kaoru_527
PROMOTED kaoru_530
PROMOTED kaoru_534
PROMOTED kaoru_535
PROMOTED kaoru_546
PROMOTED kaoru_547
PROMOTED kaoru_548
PROMOTED kaoru_549
PROMOTED kaoru_550
PROMOTED kaoru_551
PROMOTED kaoru_552
PROMOTED kaoru_553
PROMOTED kaoru_554
PROMOTED kaoru_555
PROMOTED kaoru_556
PROMOTED kaoru_557
PROMOTED kaoru_558
PROMOTED kaoru_559
PROMOTED kaoru_560
PROMOTED kaoru_561
PROMOTED kaoru_562
PROMOTED kaoru_563
PROMOTED kaoru_564
PROMOTED kaoru_565
PROMOTED kaoru_573
PROMOTED kaoru_574
PROMOTED kaoru_575
PROMOTED kaoru_576
PROMOTED kaoru_578
PROMOTED kaoru_585
PROMOTED kaoru_586
PROMOTED kaoru_587
PROMOTED kaoru_588
PROMOTED kaoru_589
PROMOTED kaoru_590
PROMOTED kaoru_591
PROMOTED kaoru_592
PROMOTED kaoru_593
PROMOTED kaoru_594
PROMOTED kaoru_595
PROMOTED kaoru_596
PROMOTED kaoru_597
PROMOTED kaoru_598
PROMOTED kaoru_599
PROMOTED kaoru_600
PROMOTED kaoru_601
PROMOTED kaoru_602
PROMOTED kaoru_603
PROMOTED kaoru_604
PROMOTED kaoru_605
PROMOTED kaoru_606
PROMOTED kaoru_607
PROMOTED kaoru_608
PROMOTED kaoru_609
PROMOTED kaoru_610
PROMOTED kaoru_611
PROMOTED kaoru_612
PROMOTED kaoru_613
PROMOTED kaoru_614
PROMOTED kaoru_615
PROMOTED kaoru_616
PROMOTED kaoru_617
PROMOTED kaoru_618
PROMOTED kaoru_619
PROMOTED kaoru_620
PROMOTED kaoru_621
PROMOTED kaoru_622
PROMOTED kaoru_623
PROMOTED kaoru_624
PROMOTED kaoru_625
PROMOTED kaoru_626
PROMOTED kaoru_627
PROMOTED kaoru_628
PROMOTED kaoru_629
PROMOTED narrator_366
PROMOTED narrator_367
PROMOTED narrator_368
PROMOTED narrator_369
PROMOTED narrator_370
PROMOTED narrator_371
PROMOTED narrator_372
PROMOTED narrator_373
PROMOTED narrator_374
PROMOTED narrator_375
PROMOTED narrator_376
PROMOTED narrator_377
PROMOTED narrator_378
PROMOTED narrator_379
PROMOTED narrator_380
PROMOTED narrator_381
PROMOTED narrator_382
PROMOTED narrator_383
PROMOTED narrator_384
PROMOTED narrator_385
PROMOTED narrator_386
PROMOTED narrator_391
PROMOTED narrator_392
PROMOTED narrator_396
PROMOTED narrator_397
PROMOTED narrator_398
PROMOTED narrator_400
PROMOTED narrator_401
PROMOTED narrator_402
PROMOTED narrator_403
PROMOTED narrator_404
PROMOTED narrator_408
PROMOTED narrator_409
PROMOTED narrator_410
PROMOTED narrator_411
PROMOTED narrator_412
PROMOTED narrator_413
PROMOTED narrator_414
PROMOTED narrator_415
PROMOTED narrator_417
PROMOTED narrator_419
PROMOTED narrator_420
PROMOTED narrator_421
PROMOTED narrator_422
PROMOTED narrator_424
PROMOTED narrator_425
PROMOTED narrator_426
PROMOTED narrator_427
PROMOTED narrator_428
PROMOTED narrator_429
PROMOTED narrator_430
PROMOTED narrator_431
PROMOTED narrator_433
PROMOTED narrator_434
PROMOTED narrator_435
PROMOTED narrator_436
PROMOTED narrator_437
PROMOTED narrator_438
PROMOTED narrator_439
PROMOTED narrator_446
PROMOTED narrator_447
PROMOTED narrator_448
PROMOTED narrator_449
PROMOTED narrator_450
PROMOTED narrator_451
PROMOTED narrator_452
PROMOTED narrator_453
PROMOTED narrator_454
PROMOTED narrator_455
PROMOTED narrator_456
PROMOTED narrator_457
PROMOTED narrator_458
PROMOTED narrator_459
PROMOTED narrator_460
PROMOTED narrator_461
PROMOTED narrator_462
PROMOTED narrator_463
PROMOTED narrator_464
PROMOTED narrator_465
PROMOTED narrator_467
PROMOTED narrator_468
PROMOTED narrator_469
PROMOTED narrator_470
PROMOTED narrator_471
PROMOTED narrator_472
PROMOTED narrator_473
PROMOTED narrator_474
PROMOTED narrator_475
PROMOTED narrator_476
PROMOTED narrator_477
PROMOTED narrator_478
PROMOTED narrator_479
PROMOTED narrator_480
PROMOTED narrator_481
PROMOTED narrator_482
PROMOTED narrator_483
PROMOTED narrator_484
PROMOTED narrator_485
PROMOTED narrator_486
PROMOTED narrator_487
PROMOTED narrator_488
PROMOTED narrator_489
PROMOTED narrator_490
PROMOTED narrator_491
PROMOTED narrator_492
PROMOTED narrator_493
PROMOTED narrator_494
PROMOTED narrator_495
PROMOTED narrator_496
PROMOTED narrator_497
PROMOTED narrator_498
PROMOTED narrator_499
PROMOTED narrator_500
PROMOTED narrator_501
PROMOTED narrator_502
PROMOTED narrator_503
PROMOTED narrator_504
PROMOTED narrator_505
PROMOTED narrator_506
PROMOTED narrator_507
PROMOTED narrator_508
PROMOTED narrator_509
PROMOTED narrator_510
PROMOTED narrator_511
PROMOTED narrator_512
PROMOTED narrator_513
PROMOTED narrator_514
PROMOTED narrator_515
PROMOTED narrator_516
PROMOTED narrator_517
PROMOTED narrator_518
PROMOTED narrator_519
PROMOTED narrator_520
PROMOTED narrator_521
PROMOTED narrator_522
PROMOTED narrator_523
PROMOTED narrator_524
PROMOTED narrator_525
PROMOTED narrator_526
PROMOTED narrator_527
PROMOTED narrator_528
PROMOTED narrator_529
PROMOTED narrator_530
PROMOTED narrator_531
PROMOTED narrator_532
PROMOTED narrator_533
PROMOTED narrator_534
PROMOTED narrator_535
PROMOTED narrator_536
PROMOTED narrator_537
PROMOTED narrator_538
PROMOTED narrator_539
PROMOTED narrator_540
PROMOTED narrator_541
PROMOTED narrator_542
PROMOTED narrator_543
PROMOTED narrator_544
PROMOTED narrator_545
PROMOTED narrator_546
PROMOTED narrator_547
PROMOTED narrator_548
PROMOTED narrator_549
PROMOTED narrator_550
PROMOTED narrator_551
PROMOTED narrator_552
PROMOTED narrator_553
PROMOTED narrator_554
PROMOTED narrator_555
PROMOTED narrator_556
PROMOTED narrator_557
PROMOTED narrator_558
PROMOTED narrator_559
PROMOTED narrator_560
PROMOTED narrator_561
PROMOTED narrator_562
PROMOTED narrator_563
PROMOTED narrator_564
PROMOTED narrator_565
PROMOTED narrator_566
PROMOTED narrator_567
PROMOTED narrator_568
PROMOTED narrator_569
PROMOTED narrator_570
PROMOTED narrator_571
PROMOTED narrator_572
PROMOTED narrator_573
PROMOTED narrator_574
PROMOTED narrator_575
PROMOTED narrator_576
PROMOTED narrator_577
PROMOTED narrator_578
PROMOTED narrator_579
PROMOTED narrator_580
PROMOTED narrator_581
PROMOTED narrator_582
PROMOTED narrator_583
PROMOTED narrator_584
PROMOTED narrator_585
PROMOTED narrator_586
PROMOTED narrator_587
PROMOTED narrator_588
PROMOTED narrator_589
PROMOTED toa_365
PROMOTED toa_378
PROMOTED toa_404
PROMOTED toa_418
PROMOTED toa_419
PROMOTED toa_420
PROMOTED toa_421
PROMOTED toa_422
PROMOTED toa_423
PROMOTED toa_424
PROMOTED toa_425
PROMOTED toa_426
PROMOTED toa_427
PROMOTED toa_428
PROMOTED toa_429
PROMOTED toa_430
PROMOTED toa_431
PROMOTED toa_432
PROMOTED toa_433
PROMOTED toa_434
PROMOTED toa_441
PROMOTED toa_443
PROMOTED toa_444
PROMOTED toa_446
