Promote v2 -> legacy started 2026-06-07 14:55:37.816219
v2 source: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice\v2\eve-donovan-2026-06-04
legacy: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice
PROMOTED kaoru_488
PROMOTED kaoru_489
PROMOTED kaoru_490
PROMOTED kaoru_493
PROMOTED kaoru_496
PROMOTED kaoru_497
PROMOTED kaoru_498
PROMOTED kaoru_499
PROMOTED kaoru_511
PROMOTED kaoru_514
PROMOTED kaoru_517
PROMOTED kaoru_522
PROMOTED kaoru_527
PROMOTED kaoru_530
PROMOTED kaoru_534
PROMOTED kaoru_535
PROMOTED kaoru_546
PROMOTED kaoru_547
PROMOTED kaoru_548
PROMOTED kaoru_549
PROMOTED kaoru_550
PROMOTED kaoru_551
PROMOTED kaoru_552
PROMOTED kaoru_553
PROMOTED kaoru_554
PROMOTED kaoru_555
PROMOTED kaoru_556
PROMOTED kaoru_557
PROMOTED kaoru_558
PROMOTED kaoru_559
PROMOTED kaoru_560
PROMOTED kaoru_561
PROMOTED kaoru_562
PROMOTED kaoru_563
PROMOTED kaoru_564
PROMOTED kaoru_565
PROMOTED kaoru_573
PROMOTED kaoru_574
PROMOTED kaoru_575
PROMOTED kaoru_576
PROMOTED kaoru_578
PROMOTED kaoru_585
PROMOTED kaoru_586
PROMOTED kaoru_587
PROMOTED kaoru_588
PROMOTED kaoru_589
PROMOTED kaoru_590
PROMOTED kaoru_591
PROMOTED kaoru_592
PROMOTED kaoru_593
PROMOTED kaoru_594
PROMOTED kaoru_595
PROMOTED kaoru_596
PROMOTED kaoru_597
PROMOTED kaoru_598
PROMOTED kaoru_599
PROMOTED kaoru_600
PROMOTED kaoru_601
PROMOTED kaoru_602
PROMOTED kaoru_603
PROMOTED kaoru_604
PROMOTED kaoru_605
PROMOTED kaoru_606
PROMOTED kaoru_607
PROMOTED kaoru_608
PROMOTED kaoru_609
PROMOTED kaoru_610
PROMOTED kaoru_611
PROMOTED kaoru_612
PROMOTED kaoru_613
PROMOTED kaoru_614
PROMOTED kaoru_615
PROMOTED kaoru_616
PROMOTED kaoru_617
PROMOTED kaoru_618
PROMOTED kaoru_619
PROMOTED kaoru_620
PROMOTED kaoru_621
PROMOTED kaoru_622
PROMOTED kaoru_623
PROMOTED kaoru_624
PROMOTED kaoru_625
PROMOTED kaoru_626
PROMOTED kaoru_627
PROMOTED kaoru_628
PROMOTED kaoru_629
PROMOTED narrator_366
PROMOTED narrator_367
PROMOTED narrator_368
PROMOTED narrator_369
PROMOTED narrator_370
PROMOTED narrator_371
PROMOTED narrator_372
PROMOTED narrator_373
PROMOTED narrator_374
PROMOTED narrator_375
PROMOTED narrator_376
PROMOTED narrator_377
PROMOTED narrator_378
PROMOTED narrator_379
PROMOTED narrator_380
PROMOTED narrator_381
PROMOTED narrator_382
PROMOTED narrator_383
PROMOTED narrator_384
PROMOTED narrator_385
PROMOTED narrator_386
PROMOTED narrator_391
PROMOTED narrator_392
PROMOTED narrator_396
PROMOTED narrator_397
PROMOTED narrator_398
PROMOTED narrator_400
PROMOTED narrator_401
PROMOTED narrator_402
PROMOTED narrator_403
PROMOTED narrator_404
PROMOTED narrator_408
PROMOTED narrator_409
PROMOTED narrator_410
PROMOTED narrator_411
PROMOTED narrator_412
PROMOTED narrator_413
PROMOTED narrator_414
PROMOTED narrator_415
PROMOTED narrator_417
PROMOTED narrator_419
PROMOTED narrator_420
PROMOTED narrator_421
PROMOTED narrator_422
PROMOTED narrator_424
PROMOTED narrator_425
PROMOTED narrator_426
PROMOTED narrator_427
PROMOTED narrator_428
PROMOTED narrator_429
PROMOTED narrator_430
PROMOTED narrator_431
PROMOTED narrator_433
PROMOTED narrator_434
PROMOTED narrator_435
PROMOTED narrator_436
PROMOTED narrator_437
PROMOTED narrator_438
PROMOTED narrator_439
PROMOTED narrator_446
PROMOTED narrator_447
PROMOTED narrator_448
PROMOTED narrator_449
PROMOTED narrator_450
PROMOTED narrator_451
PROMOTED narrator_452
PROMOTED narrator_453
PROMOTED narrator_454
PROMOTED narrator_455
PROMOTED narrator_456
PROMOTED narrator_457
PROMOTED narrator_458
PROMOTED narrator_459
PROMOTED narrator_460
PROMOTED narrator_461
PROMOTED narrator_462
PROMOTED narrator_463
PROMOTED narrator_464
PROMOTED narrator_465
PROMOTED narrator_467
PROMOTED narrator_468
PROMOTED narrator_469
PROMOTED narrator_470
PROMOTED narrator_471
PROMOTED narrator_472
PROMOTED narrator_473
PROMOTED narrator_474
PROMOTED narrator_475
PROMOTED narrator_476
PROMOTED narrator_477
PROMOTED narrator_478
PROMOTED narrator_479
SKIP missing v2 narrator_480
SKIP missing v2 narrator_481
SKIP missing v2 narrator_482
SKIP missing v2 narrator_483
SKIP missing v2 narrator_484
SKIP missing v2 narrator_485
SKIP missing v2 narrator_486
SKIP missing v2 narrator_487
SKIP missing v2 narrator_488
SKIP missing v2 narrator_489
SKIP missing v2 narrator_490
SKIP missing v2 narrator_491
SKIP missing v2 narrator_492
SKIP missing v2 narrator_493
SKIP missing v2 narrator_494
SKIP missing v2 narrator_495
SKIP missing v2 narrator_496
SKIP missing v2 narrator_497
SKIP missing v2 narrator_498
SKIP missing v2 narrator_499
SKIP missing v2 narrator_500
SKIP missing v2 narrator_501
SKIP missing v2 narrator_502
SKIP missing v2 narrator_503
SKIP missing v2 narrator_504
SKIP missing v2 narrator_505
SKIP missing v2 narrator_506
SKIP missing v2 narrator_507
SKIP missing v2 narrator_508
SKIP missing v2 narrator_509
SKIP missing v2 narrator_510
SKIP missing v2 narrator_511
SKIP missing v2 narrator_512
SKIP missing v2 narrator_513
SKIP missing v2 narrator_514
SKIP missing v2 narrator_515
SKIP missing v2 narrator_516
SKIP missing v2 narrator_517
SKIP missing v2 narrator_518
SKIP missing v2 narrator_519
SKIP missing v2 narrator_520
SKIP missing v2 narrator_521
SKIP missing v2 narrator_522
SKIP missing v2 narrator_523
SKIP missing v2 narrator_524
SKIP missing v2 narrator_525
SKIP missing v2 narrator_526
SKIP missing v2 narrator_527
SKIP missing v2 narrator_528
SKIP missing v2 narrator_529
SKIP missing v2 narrator_530
SKIP missing v2 narrator_531
SKIP missing v2 narrator_532
SKIP missing v2 narrator_533
SKIP missing v2 narrator_534
SKIP missing v2 narrator_535
SKIP missing v2 narrator_536
SKIP missing v2 narrator_537
SKIP missing v2 narrator_538
SKIP missing v2 narrator_539
SKIP missing v2 narrator_540
SKIP missing v2 narrator_541
SKIP missing v2 narrator_542
SKIP missing v2 narrator_543
SKIP missing v2 narrator_544
SKIP missing v2 narrator_545
SKIP missing v2 narrator_546
SKIP missing v2 narrator_547
SKIP missing v2 narrator_548
SKIP missing v2 narrator_549
SKIP missing v2 narrator_550
SKIP missing v2 narrator_551
SKIP missing v2 narrator_552
SKIP missing v2 narrator_553
SKIP missing v2 narrator_554
SKIP missing v2 narrator_555
SKIP missing v2 narrator_556
SKIP missing v2 narrator_557
SKIP missing v2 narrator_558
SKIP missing v2 narrator_559
SKIP missing v2 narrator_560
SKIP missing v2 narrator_561
SKIP missing v2 narrator_562
SKIP missing v2 narrator_563
SKIP missing v2 narrator_564
SKIP missing v2 narrator_565
SKIP missing v2 narrator_566
SKIP missing v2 narrator_567
SKIP missing v2 narrator_568
SKIP missing v2 narrator_569
SKIP missing v2 narrator_570
SKIP missing v2 narrator_571
SKIP missing v2 narrator_572
SKIP missing v2 narrator_573
SKIP missing v2 narrator_574
SKIP missing v2 narrator_575
SKIP missing v2 narrator_576
SKIP missing v2 narrator_577
SKIP missing v2 narrator_578
SKIP missing v2 narrator_579
SKIP missing v2 narrator_580
SKIP missing v2 narrator_581
SKIP missing v2 narrator_582
SKIP missing v2 narrator_583
SKIP missing v2 narrator_584
