Promote v2 -> legacy started 2026-06-05 18:29:26.850367
v2 source: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice\v2\eve-donovan-2026-06-04
legacy: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice
PROMOTED kaoru_487
PROMOTED kaoru_488
PROMOTED kaoru_489
PROMOTED kaoru_490
PROMOTED kaoru_491
PROMOTED kaoru_492
PROMOTED kaoru_493
PROMOTED kaoru_494
PROMOTED kaoru_495
PROMOTED kaoru_496
PROMOTED kaoru_497
PROMOTED kaoru_498
PROMOTED kaoru_499
PROMOTED kaoru_500
PROMOTED kaoru_501
PROMOTED kaoru_502
PROMOTED kaoru_503
PROMOTED kaoru_504
PROMOTED kaoru_505
PROMOTED kaoru_506
PROMOTED kaoru_507
PROMOTED kaoru_508
PROMOTED kaoru_509
PROMOTED kaoru_510
PROMOTED kaoru_511
PROMOTED kaoru_512
PROMOTED kaoru_513
PROMOTED kaoru_514
PROMOTED kaoru_515
PROMOTED kaoru_516
PROMOTED kaoru_517
PROMOTED kaoru_518
PROMOTED kaoru_519
PROMOTED kaoru_520
PROMOTED kaoru_521
PROMOTED kaoru_522
PROMOTED kaoru_523
PROMOTED kaoru_524
PROMOTED kaoru_525
PROMOTED kaoru_526
PROMOTED kaoru_527
PROMOTED kaoru_528
PROMOTED kaoru_529
PROMOTED kaoru_530
PROMOTED kaoru_531
PROMOTED kaoru_532
PROMOTED kaoru_533
PROMOTED kaoru_534
PROMOTED kaoru_535
PROMOTED kaoru_536
PROMOTED kaoru_537
PROMOTED kaoru_538
PROMOTED kaoru_539
PROMOTED kaoru_540
PROMOTED kaoru_541
PROMOTED kaoru_542
PROMOTED kaoru_543
PROMOTED kaoru_544
PROMOTED kaoru_545
PROMOTED kaoru_546
PROMOTED kaoru_547
PROMOTED kaoru_548
PROMOTED kaoru_549
PROMOTED kaoru_550
PROMOTED kaoru_551
PROMOTED kaoru_552
PROMOTED kaoru_553
PROMOTED kaoru_554
PROMOTED kaoru_555
PROMOTED kaoru_556
PROMOTED kaoru_557
PROMOTED kaoru_558
PROMOTED kaoru_559
PROMOTED kaoru_560
PROMOTED kaoru_561
PROMOTED kaoru_562
PROMOTED kaoru_563
PROMOTED kaoru_564
PROMOTED kaoru_565
PROMOTED kaoru_572
PROMOTED kaoru_573
PROMOTED kaoru_574
PROMOTED kaoru_575
PROMOTED kaoru_576
PROMOTED kaoru_577
PROMOTED kaoru_578
PROMOTED kaoru_579
PROMOTED kaoru_580
PROMOTED kaoru_581
PROMOTED kaoru_582
PROMOTED kaoru_583
PROMOTED kaoru_584
PROMOTED kaoru_585
PROMOTED kaoru_586
PROMOTED kaoru_587
PROMOTED kaoru_588
PROMOTED kaoru_589
PROMOTED kaoru_590
PROMOTED kaoru_591
PROMOTED kaoru_592
PROMOTED kaoru_593
PROMOTED kaoru_594
PROMOTED toa_365
PROMOTED toa_366
PROMOTED toa_367
PROMOTED toa_368
PROMOTED toa_369
PROMOTED toa_370
PROMOTED toa_371
PROMOTED toa_372
PROMOTED toa_373
PROMOTED toa_374
PROMOTED toa_375
PROMOTED toa_376
PROMOTED toa_377
PROMOTED toa_378
PROMOTED toa_379
PROMOTED toa_380
PROMOTED toa_381
PROMOTED toa_382
PROMOTED toa_383
PROMOTED toa_384
PROMOTED toa_385
PROMOTED toa_386
PROMOTED toa_387
PROMOTED toa_388
PROMOTED toa_389
PROMOTED toa_390
PROMOTED toa_391
PROMOTED toa_392
PROMOTED toa_393
PROMOTED toa_394
PROMOTED toa_395
PROMOTED toa_396
PROMOTED toa_397
PROMOTED toa_398
PROMOTED toa_399
PROMOTED toa_400
PROMOTED toa_401
PROMOTED toa_402
PROMOTED toa_403
PROMOTED toa_404
PROMOTED toa_405
PROMOTED toa_406
PROMOTED toa_407
PROMOTED toa_408
PROMOTED toa_409
PROMOTED toa_410
PROMOTED toa_411
PROMOTED toa_412
PROMOTED toa_413
PROMOTED toa_414
PROMOTED toa_415
PROMOTED toa_416
PROMOTED toa_417
PROMOTED toa_418
PROMOTED toa_419
PROMOTED toa_420
PROMOTED toa_421
PROMOTED toa_422
PROMOTED toa_423
PROMOTED toa_424
PROMOTED toa_425
PROMOTED toa_426
PROMOTED toa_427
PROMOTED toa_428
PROMOTED toa_429
PROMOTED toa_430
PROMOTED toa_431
PROMOTED toa_432
PROMOTED toa_433
PROMOTED toa_434
PROMOTED toa_441
PROMOTED toa_442
PROMOTED toa_443
PROMOTED toa_444
PROMOTED toa_445
PROMOTED toa_446
PROMOTED toa_447
PROMOTED toa_448
PROMOTED toa_449
PROMOTED toa_450
PROMOTED toa_451
PROMOTED toa_452
PROMOTED toa_453
PROMOTED toa_454
PROMOTED toa_455
PROMOTED toa_456
PROMOTED toa_457
PROMOTED toa_458
PROMOTED toa_459
PROMOTED toa_460
PROMOTED toa_461
PROMOTED toa_462
PROMOTED toa_463
PROMOTED toa_464
PROMOTED toa_465
PROMOTED toa_466
PROMOTED toa_467
PROMOTED toa_468
PROMOTED toa_469
PROMOTED toa_470
PROMOTED toa_471
PROMOTED toa_472
PROMOTED toa_473
Promoted count: 205
Skipped (no v2): 0
Errors: 0
