Promote v2 -> legacy started 2026-06-05 16:01:56.612021
v2 source: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice\v2\eve-donovan-2026-06-04
legacy: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice
PROMOTED kaoru_593
PROMOTED toa_465
PROMOTED kaoru_594
PROMOTED toa_466
PROMOTED toa_467
PROMOTED toa_468
PROMOTED toa_469
PROMOTED toa_470
PROMOTED toa_471
PROMOTED toa_472
PROMOTED toa_473
PROMOTED narrator_467
PROMOTED narrator_468
PROMOTED kaoru_592
PROMOTED narrator_367
PROMOTED narrator_369
PROMOTED narrator_370
PROMOTED narrator_375
PROMOTED narrator_380
PROMOTED narrator_420
PROMOTED narrator_422
PROMOTED narrator_423
PROMOTED kaoru_488
PROMOTED kaoru_489
PROMOTED kaoru_497
PROMOTED narrator_386
PROMOTED narrator_397
PROMOTED kaoru_511
PROMOTED kaoru_522
PROMOTED kaoru_527
PROMOTED narrator_400
PROMOTED kaoru_546
PROMOTED narrator_426
PROMOTED kaoru_549
PROMOTED narrator_446
PROMOTED toa_443
Promoted count: 36
Skipped (no v2): 0
Errors: 0
