Promote v2 -> legacy started 2026-06-05 13:17:41.908155
v2 source: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice\v2\eve-donovan-2026-06-04
legacy: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice
PROMOTED narrator_425
PROMOTED narrator_426
PROMOTED toa_417
PROMOTED kaoru_549
PROMOTED narrator_427
PROMOTED toa_418
PROMOTED toa_419
PROMOTED kaoru_550
PROMOTED narrator_428
PROMOTED narrator_429
PROMOTED kaoru_551
PROMOTED toa_420
PROMOTED narrator_430
PROMOTED kaoru_552
PROMOTED toa_421
PROMOTED kaoru_553
PROMOTED toa_422
PROMOTED kaoru_554
PROMOTED toa_423
PROMOTED kaoru_555
PROMOTED narrator_431
PROMOTED kaoru_556
PROMOTED toa_424
PROMOTED narrator_432
PROMOTED narrator_433
PROMOTED toa_425
PROMOTED narrator_434
PROMOTED toa_426
PROMOTED kaoru_557
PROMOTED narrator_435
PROMOTED kaoru_558
PROMOTED toa_427
PROMOTED kaoru_559
PROMOTED toa_428
PROMOTED kaoru_560
PROMOTED toa_429
PROMOTED kaoru_561
PROMOTED narrator_436
PROMOTED kaoru_562
PROMOTED toa_430
PROMOTED kaoru_563
PROMOTED toa_431
PROMOTED narrator_437
PROMOTED toa_432
PROMOTED narrator_438
PROMOTED toa_433
PROMOTED kaoru_564
PROMOTED toa_434
PROMOTED kaoru_565
PROMOTED narrator_439
Promoted count: 50
Skipped (no v2): 0
Errors: 0
