Promote v2 -> legacy started 2026-06-05 14:36:47.214576
v2 source: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice\v2\eve-donovan-2026-06-04
legacy: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice
PROMOTED narrator_446
PROMOTED toa_441
PROMOTED toa_442
PROMOTED kaoru_572
PROMOTED narrator_447
PROMOTED toa_443
PROMOTED kaoru_573
PROMOTED kaoru_574
PROMOTED narrator_448
PROMOTED narrator_449
PROMOTED toa_444
PROMOTED kaoru_575
PROMOTED toa_445
PROMOTED kaoru_576
PROMOTED toa_446
PROMOTED kaoru_577
PROMOTED toa_447
PROMOTED kaoru_578
PROMOTED narrator_450
PROMOTED narrator_451
PROMOTED toa_448
PROMOTED kaoru_579
PROMOTED narrator_452
PROMOTED kaoru_580
PROMOTED toa_449
PROMOTED kaoru_581
PROMOTED toa_450
PROMOTED kaoru_582
PROMOTED narrator_453
PROMOTED toa_451
PROMOTED kaoru_583
PROMOTED narrator_454
PROMOTED narrator_455
PROMOTED kaoru_584
PROMOTED toa_452
PROMOTED kaoru_585
PROMOTED toa_453
PROMOTED narrator_456
PROMOTED narrator_457
PROMOTED kaoru_586
PROMOTED toa_454
PROMOTED toa_455
PROMOTED kaoru_587
PROMOTED toa_456
PROMOTED toa_457
PROMOTED narrator_458
PROMOTED kaoru_588
PROMOTED toa_458
PROMOTED narrator_459
PROMOTED kaoru_589
PROMOTED toa_459
PROMOTED narrator_460
PROMOTED narrator_461
PROMOTED kaoru_590
PROMOTED toa_460
PROMOTED toa_461
PROMOTED kaoru_591
PROMOTED narrator_462
PROMOTED narrator_463
PROMOTED narrator_464
PROMOTED toa_462
PROMOTED toa_463
PROMOTED narrator_465
PROMOTED toa_464
PROMOTED narrator_466
PROMOTED kaoru_546
Promoted count: 66
Skipped (no v2): 0
Errors: 0
