Promote v2 -> legacy started 2026-06-04 21:05:08.995322
v2 source: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice\v2\eve-donovan-2026-06-04
legacy: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice
PROMOTED narrator_366
PROMOTED narrator_367
PROMOTED toa_365
PROMOTED narrator_368
PROMOTED kaoru_487
PROMOTED toa_366
PROMOTED kaoru_488
PROMOTED narrator_369
PROMOTED toa_367
PROMOTED narrator_370
PROMOTED toa_368
PROMOTED toa_369
PROMOTED narrator_371
PROMOTED kaoru_489
PROMOTED narrator_372
PROMOTED kaoru_490
PROMOTED toa_370
PROMOTED kaoru_491
PROMOTED narrator_373
PROMOTED toa_371
PROMOTED kaoru_492
PROMOTED narrator_374
PROMOTED toa_372
PROMOTED kaoru_493
PROMOTED narrator_375
PROMOTED kaoru_494
PROMOTED toa_373
PROMOTED kaoru_495
PROMOTED kaoru_496
PROMOTED toa_374
PROMOTED kaoru_497
PROMOTED toa_375
PROMOTED kaoru_498
PROMOTED narrator_376
PROMOTED kaoru_499
PROMOTED toa_376
PROMOTED kaoru_500
PROMOTED narrator_377
PROMOTED narrator_378
PROMOTED kaoru_501
PROMOTED toa_377
PROMOTED narrator_379
PROMOTED toa_378
PROMOTED kaoru_502
PROMOTED toa_379
PROMOTED kaoru_503
PROMOTED narrator_380
PROMOTED narrator_381
PROMOTED kaoru_504
PROMOTED toa_380
PROMOTED kaoru_505
PROMOTED narrator_382
PROMOTED kaoru_506
PROMOTED toa_381
PROMOTED narrator_383
PROMOTED kaoru_507
PROMOTED toa_382
PROMOTED kaoru_508
PROMOTED kaoru_509
Promoted count: 59
Skipped (no v2): 0
Errors: 0
