Promote v2 -> legacy started 2026-06-04 22:27:35.591000
v2 source: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice\v2\eve-donovan-2026-06-04
legacy: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice
SKIP missing v2 ﻿# Prose-expanded Wrong Floor AU lines (game_text differs from last v2/legacy TTS)
PROMOTED narrator_366
PROMOTED narrator_367
PROMOTED narrator_368
PROMOTED narrator_369
PROMOTED narrator_370
PROMOTED narrator_371
PROMOTED narrator_372
PROMOTED narrator_373
PROMOTED narrator_374
PROMOTED kaoru_493
PROMOTED narrator_375
PROMOTED narrator_376
PROMOTED kaoru_494
PROMOTED narrator_377
PROMOTED kaoru_495
PROMOTED kaoru_496
PROMOTED kaoru_497
PROMOTED kaoru_498
PROMOTED kaoru_499
PROMOTED narrator_378
PROMOTED kaoru_500
PROMOTED kaoru_501
PROMOTED narrator_379
PROMOTED narrator_380
PROMOTED kaoru_502
PROMOTED narrator_381
PROMOTED kaoru_503
PROMOTED kaoru_504
PROMOTED narrator_382
PROMOTED narrator_383
PROMOTED kaoru_505
PROMOTED kaoru_506
PROMOTED narrator_384
PROMOTED kaoru_507
PROMOTED narrator_385
PROMOTED kaoru_508
PROMOTED kaoru_509
PROMOTED kaoru_510
Promoted count: 38
Skipped (no v2): 1
Errors: 0
