Promote v2 -> legacy started 2026-06-05 21:44:37.187986
v2 source: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice\v2\eve-donovan-2026-06-04
legacy: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice
PROMOTED narrator_472
PROMOTED narrator_473
PROMOTED narrator_474
PROMOTED narrator_475
PROMOTED narrator_476
PROMOTED narrator_477
PROMOTED narrator_478
PROMOTED narrator_002
PROMOTED narrator_004
PROMOTED narrator_005
PROMOTED narrator_008
PROMOTED narrator_009
PROMOTED narrator_010
PROMOTED narrator_012
PROMOTED narrator_015
PROMOTED narrator_016
PROMOTED narrator_020
PROMOTED narrator_052
PROMOTED narrator_060
PROMOTED narrator_067
PROMOTED narrator_074
PROMOTED narrator_083
PROMOTED narrator_087
PROMOTED narrator_088
PROMOTED narrator_100
PROMOTED narrator_101
PROMOTED narrator_116
PROMOTED narrator_119
PROMOTED narrator_124
PROMOTED narrator_131
PROMOTED narrator_203
PROMOTED narrator_214
PROMOTED narrator_231
PROMOTED narrator_238
PROMOTED narrator_254
PROMOTED narrator_264
PROMOTED narrator_366
PROMOTED narrator_368
PROMOTED narrator_371
PROMOTED narrator_373
PROMOTED narrator_382
PROMOTED narrator_390
PROMOTED narrator_400
PROMOTED narrator_403
PROMOTED narrator_411
PROMOTED narrator_427
PROMOTED narrator_468
PROMOTED narrator_469
PROMOTED narrator_471
Promoted count: 49
Skipped (no v2): 0
Errors: 0
