Promote v2 -> legacy started 2026-06-05 14:12:58.490536
v2 source: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice\v2\eve-donovan-2026-06-04
legacy: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice
PROMOTED kaoru_016
PROMOTED kaoru_022
PROMOTED kaoru_039
PROMOTED kaoru_079
PROMOTED kaoru_083
PROMOTED kaoru_091
PROMOTED kaoru_095
PROMOTED kaoru_117
PROMOTED kaoru_130
PROMOTED kaoru_137
PROMOTED kaoru_150
PROMOTED kaoru_164
PROMOTED kaoru_167
PROMOTED kaoru_176
PROMOTED kaoru_185
PROMOTED kaoru_187
PROMOTED kaoru_207
PROMOTED kaoru_212
PROMOTED kaoru_213
PROMOTED kaoru_219
PROMOTED kaoru_221
PROMOTED kaoru_230
PROMOTED kaoru_252
PROMOTED kaoru_255
PROMOTED kaoru_265
PROMOTED kaoru_288
PROMOTED kaoru_296
PROMOTED kaoru_311
PROMOTED kaoru_315
PROMOTED kaoru_316
PROMOTED kaoru_321
PROMOTED kaoru_328
PROMOTED kaoru_329
PROMOTED kaoru_330
PROMOTED kaoru_331
PROMOTED kaoru_332
PROMOTED kaoru_343
PROMOTED kaoru_344
PROMOTED kaoru_346
PROMOTED kaoru_348
PROMOTED kaoru_353
PROMOTED kaoru_359
PROMOTED kaoru_363
PROMOTED kaoru_365
PROMOTED kaoru_366
PROMOTED kaoru_383
PROMOTED kaoru_384
PROMOTED kaoru_395
PROMOTED kaoru_416
PROMOTED kaoru_431
PROMOTED kaoru_432
PROMOTED kaoru_448
PROMOTED kaoru_461
PROMOTED kaoru_566
PROMOTED kaoru_567
PROMOTED kaoru_568
PROMOTED kaoru_569
PROMOTED kaoru_570
PROMOTED kaoru_571
PROMOTED narrator_013
PROMOTED narrator_030
PROMOTED narrator_033
PROMOTED narrator_041
PROMOTED narrator_044
PROMOTED narrator_093
PROMOTED narrator_147
PROMOTED narrator_148
PROMOTED narrator_150
PROMOTED narrator_158
PROMOTED narrator_161
PROMOTED narrator_174
PROMOTED narrator_175
PROMOTED narrator_180
PROMOTED narrator_195
PROMOTED narrator_218
PROMOTED narrator_234
PROMOTED narrator_238
PROMOTED narrator_261
PROMOTED narrator_266
PROMOTED narrator_270
PROMOTED narrator_271
PROMOTED narrator_276
PROMOTED narrator_279
PROMOTED narrator_283
PROMOTED narrator_288
PROMOTED narrator_289
PROMOTED narrator_300
PROMOTED narrator_306
PROMOTED narrator_313
PROMOTED narrator_316
PROMOTED narrator_329
PROMOTED narrator_351
PROMOTED narrator_352
PROMOTED narrator_440
PROMOTED narrator_441
PROMOTED narrator_442
PROMOTED narrator_443
PROMOTED narrator_444
PROMOTED narrator_445
PROMOTED toa_003
PROMOTED toa_010
PROMOTED toa_012
PROMOTED toa_030
PROMOTED toa_035
PROMOTED toa_106
PROMOTED toa_122
PROMOTED toa_127
PROMOTED toa_128
PROMOTED toa_129
PROMOTED toa_140
PROMOTED toa_166
PROMOTED toa_223
PROMOTED toa_251
PROMOTED toa_255
PROMOTED toa_264
PROMOTED toa_268
PROMOTED toa_286
PROMOTED toa_292
PROMOTED toa_302
PROMOTED toa_348
PROMOTED toa_356
PROMOTED toa_435
PROMOTED toa_436
PROMOTED toa_437
PROMOTED toa_438
PROMOTED toa_439
PROMOTED toa_440
Promoted count: 127
Skipped (no v2): 0
Errors: 0
