Promote v2 -> legacy started 2026-06-04 20:41:51.797478
v2 source: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice\v2\eve-donovan-2026-06-04
legacy: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice
PROMOTED toa_338
PROMOTED kaoru_449
PROMOTED kaoru_450
PROMOTED toa_339
PROMOTED kaoru_451
PROMOTED toa_340
PROMOTED kaoru_452
PROMOTED kaoru_453
PROMOTED toa_341
PROMOTED toa_342
PROMOTED kaoru_454
PROMOTED toa_343
PROMOTED kaoru_455
PROMOTED kaoru_456
PROMOTED kaoru_457
PROMOTED kaoru_458
PROMOTED kaoru_459
PROMOTED kaoru_460
PROMOTED toa_344
PROMOTED toa_345
PROMOTED kaoru_461
PROMOTED toa_346
PROMOTED kaoru_462
PROMOTED kaoru_463
PROMOTED kaoru_464
PROMOTED toa_347
PROMOTED kaoru_465
PROMOTED kaoru_466
PROMOTED toa_348
PROMOTED kaoru_467
PROMOTED toa_349
PROMOTED kaoru_468
PROMOTED kaoru_469
PROMOTED toa_350
PROMOTED kaoru_470
PROMOTED kaoru_471
PROMOTED toa_351
PROMOTED kaoru_472
PROMOTED kaoru_473
PROMOTED toa_352
PROMOTED kaoru_474
PROMOTED kaoru_475
PROMOTED toa_353
PROMOTED toa_354
PROMOTED toa_355
PROMOTED toa_356
PROMOTED kaoru_476
PROMOTED toa_357
PROMOTED kaoru_477
PROMOTED toa_358
PROMOTED kaoru_478
PROMOTED kaoru_479
PROMOTED toa_359
PROMOTED kaoru_480
PROMOTED kaoru_481
PROMOTED toa_360
PROMOTED kaoru_482
PROMOTED toa_361
PROMOTED kaoru_483
PROMOTED kaoru_484
PROMOTED toa_362
PROMOTED toa_363
PROMOTED kaoru_485
PROMOTED kaoru_486
PROMOTED toa_364
Promoted count: 65
Skipped (no v2): 0
Errors: 0
