Promote v2 -> legacy started 2026-06-04 20:08:54.738861
v2 source: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice\v2\eve-donovan-2026-06-04
legacy: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice
PROMOTED kaoru_426
PROMOTED toa_319
PROMOTED kaoru_427
PROMOTED toa_320
PROMOTED kaoru_428
PROMOTED toa_321
PROMOTED kaoru_429
PROMOTED toa_322
PROMOTED kaoru_430
PROMOTED kaoru_431
PROMOTED toa_323
PROMOTED kaoru_432
PROMOTED toa_324
PROMOTED kaoru_433
PROMOTED toa_325
PROMOTED kaoru_434
PROMOTED toa_326
PROMOTED kaoru_435
PROMOTED kaoru_436
PROMOTED toa_327
PROMOTED kaoru_437
PROMOTED toa_328
PROMOTED toa_329
PROMOTED kaoru_438
PROMOTED toa_330
PROMOTED kaoru_439
PROMOTED toa_331
PROMOTED kaoru_440
PROMOTED kaoru_441
PROMOTED toa_332
PROMOTED kaoru_442
PROMOTED toa_333
PROMOTED kaoru_443
PROMOTED kaoru_444
PROMOTED toa_334
PROMOTED kaoru_445
PROMOTED toa_335
PROMOTED kaoru_446
PROMOTED toa_336
PROMOTED kaoru_447
PROMOTED toa_337
PROMOTED kaoru_448
Promoted count: 42
Skipped (no v2): 0
Errors: 0
