Promote v2 -> legacy started 2026-06-04 20:08:48.650966
v2 source: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice\v2\eve-donovan-2026-06-04
legacy: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice
PROMOTED narrator_312
PROMOTED narrator_313
PROMOTED narrator_314
PROMOTED narrator_315
PROMOTED narrator_316
PROMOTED narrator_317
PROMOTED narrator_318
PROMOTED narrator_319
PROMOTED narrator_320
PROMOTED narrator_321
PROMOTED narrator_322
PROMOTED narrator_323
PROMOTED narrator_324
PROMOTED narrator_325
PROMOTED narrator_326
PROMOTED narrator_327
PROMOTED narrator_328
PROMOTED narrator_329
PROMOTED narrator_330
PROMOTED narrator_331
PROMOTED narrator_332
PROMOTED narrator_333
PROMOTED narrator_334
PROMOTED narrator_335
PROMOTED narrator_336
PROMOTED narrator_337
PROMOTED narrator_338
PROMOTED narrator_339
PROMOTED narrator_340
PROMOTED narrator_341
PROMOTED narrator_342
PROMOTED narrator_343
PROMOTED narrator_344
PROMOTED narrator_345
PROMOTED narrator_346
PROMOTED narrator_347
PROMOTED narrator_348
PROMOTED narrator_349
PROMOTED narrator_350
PROMOTED narrator_351
PROMOTED narrator_352
PROMOTED narrator_353
PROMOTED narrator_354
PROMOTED narrator_355
PROMOTED narrator_356
PROMOTED narrator_357
PROMOTED narrator_358
PROMOTED narrator_359
PROMOTED narrator_360
PROMOTED narrator_361
PROMOTED narrator_362
PROMOTED narrator_363
PROMOTED narrator_364
PROMOTED narrator_365
PROMOTED kaoru_387
PROMOTED kaoru_388
PROMOTED kaoru_389
PROMOTED kaoru_390
PROMOTED kaoru_391
PROMOTED kaoru_392
PROMOTED kaoru_393
PROMOTED kaoru_394
PROMOTED kaoru_395
PROMOTED kaoru_396
PROMOTED kaoru_397
PROMOTED kaoru_398
PROMOTED kaoru_399
PROMOTED kaoru_400
PROMOTED kaoru_401
PROMOTED kaoru_402
PROMOTED kaoru_403
PROMOTED kaoru_404
PROMOTED kaoru_405
PROMOTED kaoru_406
PROMOTED kaoru_407
PROMOTED kaoru_408
PROMOTED kaoru_409
PROMOTED kaoru_410
PROMOTED kaoru_411
PROMOTED kaoru_412
PROMOTED kaoru_413
PROMOTED kaoru_414
PROMOTED kaoru_415
PROMOTED kaoru_416
PROMOTED kaoru_417
PROMOTED kaoru_418
PROMOTED kaoru_419
PROMOTED kaoru_420
PROMOTED kaoru_421
PROMOTED kaoru_422
PROMOTED kaoru_423
PROMOTED kaoru_424
PROMOTED kaoru_425
Promoted count: 93
Skipped (no v2): 0
Errors: 0
