Promote v2 -> legacy started 2026-06-05 19:00:59.443271
v2 source: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice\v2\eve-donovan-2026-06-04
legacy: C:\Users\Amanda\Developer\ryoko-owari\game\audio\voice
PROMOTED narrator_002
PROMOTED narrator_004
PROMOTED narrator_005
PROMOTED narrator_008
PROMOTED narrator_009
PROMOTED narrator_010
PROMOTED narrator_012
PROMOTED narrator_015
PROMOTED narrator_016
PROMOTED narrator_020
PROMOTED narrator_052
PROMOTED narrator_060
PROMOTED narrator_067
PROMOTED narrator_074
PROMOTED narrator_083
PROMOTED narrator_087
PROMOTED narrator_088
PROMOTED narrator_100
PROMOTED narrator_101
PROMOTED narrator_116
PROMOTED narrator_119
PROMOTED narrator_124
PROMOTED narrator_131
PROMOTED narrator_203
PROMOTED narrator_231
PROMOTED narrator_238
PROMOTED narrator_254
PROMOTED narrator_264
PROMOTED narrator_366
PROMOTED narrator_367
PROMOTED narrator_368
PROMOTED narrator_369
PROMOTED narrator_370
PROMOTED narrator_371
PROMOTED narrator_372
PROMOTED narrator_373
PROMOTED narrator_374
PROMOTED narrator_375
PROMOTED narrator_376
PROMOTED narrator_377
PROMOTED narrator_378
PROMOTED narrator_379
PROMOTED narrator_380
PROMOTED narrator_381
PROMOTED narrator_382
PROMOTED narrator_383
PROMOTED narrator_384
PROMOTED narrator_385
PROMOTED narrator_386
PROMOTED narrator_387
PROMOTED narrator_388
PROMOTED narrator_389
PROMOTED narrator_390
PROMOTED narrator_391
PROMOTED narrator_392
PROMOTED narrator_393
PROMOTED narrator_394
PROMOTED narrator_395
PROMOTED narrator_396
PROMOTED narrator_397
PROMOTED narrator_398
PROMOTED narrator_399
PROMOTED narrator_400
PROMOTED narrator_401
PROMOTED narrator_402
PROMOTED narrator_403
PROMOTED narrator_404
PROMOTED narrator_405
PROMOTED narrator_406
PROMOTED narrator_407
PROMOTED narrator_408
PROMOTED narrator_409
PROMOTED narrator_410
PROMOTED narrator_411
PROMOTED narrator_412
PROMOTED narrator_413
PROMOTED narrator_414
PROMOTED narrator_415
PROMOTED narrator_416
PROMOTED narrator_417
PROMOTED narrator_418
PROMOTED narrator_419
PROMOTED narrator_420
PROMOTED narrator_421
PROMOTED narrator_422
PROMOTED narrator_423
PROMOTED narrator_424
PROMOTED narrator_425
PROMOTED narrator_426
PROMOTED narrator_427
PROMOTED narrator_428
PROMOTED narrator_429
PROMOTED narrator_430
PROMOTED narrator_431
PROMOTED narrator_432
PROMOTED narrator_433
PROMOTED narrator_434
PROMOTED narrator_435
PROMOTED narrator_436
PROMOTED narrator_437
PROMOTED narrator_438
PROMOTED narrator_439
PROMOTED narrator_446
PROMOTED narrator_447
PROMOTED narrator_448
PROMOTED narrator_449
PROMOTED narrator_450
PROMOTED narrator_451
PROMOTED narrator_452
PROMOTED narrator_453
PROMOTED narrator_454
PROMOTED narrator_455
PROMOTED narrator_456
PROMOTED narrator_457
PROMOTED narrator_458
PROMOTED narrator_459
PROMOTED narrator_460
PROMOTED narrator_461
PROMOTED narrator_462
PROMOTED narrator_463
PROMOTED narrator_464
PROMOTED narrator_465
PROMOTED narrator_466
PROMOTED narrator_467
PROMOTED narrator_468
PROMOTED narrator_469
PROMOTED narrator_470
PROMOTED narrator_471
Promoted count: 128
Skipped (no v2): 0
Errors: 0
